wallet,tx_count,total_fee,avg_fee,total_sent_sol,token_diversity,defi_activity_count,mint_count,tokens_minted,spl_tokens_sent,avg_tx_size,fee_ratio,defi_ratio,mint_ratio,cluster,pca1,pca2
CcTN7i5VDvbsT1f5LAJgUKz5vxsMKiGyv9WrehJRDWqr,1,5000,5000.0,2034280,0,1,0,0,0,2034280.0,0.0024578720726743616,1.0,0.0,0,-0.07230271719407028,0.41968271180333977
DFYmJoYY9gysPhBfsM5aoBXv2yEuE9yZEKgJVZ2rNrqt,1,10000,10000.0,0,1,1,0,0,EPjFWd...:100,0.0,10000.0,1.0,0.0,3,-0.16902923180289026,1.3941391104818404
h2t8sDCHgaCemAbnNumFwDx9fwWg8Ud7RHbumcfANbg,1,20229,20229.0,475889973,0,1,0,0,0,475889973.0,4.250772478452703e-05,1.0,0.0,0,-0.03117716049350086,0.4174473608618193
Fuux8SjoXk3hUSzjM8bD6DPode4jWmvLohxDWovdzm1y,1,10050,10050.0,12478738,0,1,0,0,0,12478738.0,0.0008053699019884863,1.0,0.0,0,-0.07138836125102474,0.4188734653579635
Df2JT7oCd3UmVAppftVRAmu4na4cqcwPhJTgDnydsD2Y,1,5000,5000.0,10000,0,1,0,0,0,10000.0,0.5,1.0,0.0,0,-0.07247831781158653,0.4196819265551673
H7n5ZqM7K4bd6jdke2epw3JBpgGvQ4z6UqqyCVovyBxF,1,5000,5000.0,10000,0,1,0,0,0,10000.0,0.5,1.0,0.0,0,-0.07247831781158653,0.4196819265551673
BwLUHJkuMEESTuBxKvXUnMuBCdxesCZjjJ8EHMgMgRWm,1,5000,5000.0,10000000,0,1,0,0,0,10000000.0,0.0005,1.0,0.0,0,-0.0716118070738892,0.4196864035596278
x4onvPPaevKAmp9GJeCpeFWGutFAPqnM8fnwcoPeP7k,1,10050,10050.0,83483076,0,1,0,0,0,83483076.0,0.00012038368111879346,1.0,0.0,0,-0.06522977052753257,0.4189063778632029
9jJut3saAACG6R9SWFgyt2rEPhE8byrwLuuxmoLTyTKU,1,80000,80000.0,1800000,0,1,0,0,0,1800000.0,0.044444444444444446,1.0,0.0,0,-0.07219752270557486,0.4075922111591625
J7SFVfyKKK8E1YZE4huPXMwtWPCNw2pypUytWHH1c7t8,2,10000,5000.0,11644,0,1,0,0,0,5822.0,0.8588114050154586,0.5,0.0,2,-0.0743096032041181,-0.8028519435989255
HBZtx2DHMe99Mb8uvXVebQvziZny9AMBbK9iMAkZJ5dv,5,25105,5021.0,5000,0,1,0,0,0,1000.0,5.021,0.2,0.0,2,-0.07544137341997466,-1.5473033735460444
Df3vsHCGmvM2bkDSeBEoUCNx9BMBeUi5Jmj646gyywmV,1,5000,5000.0,2060,0,1,0,0,0,2060.0,2.4271844660194173,1.0,0.0,0,-0.0724790988815475,0.4196825157716513
FUdXCVtNNEMtd5VPbTYH9gRFybZQrMgQjcgp2yqiccrB,1,5000,5000.0,3433,0,1,0,0,0,3433.0,1.4564520827264782,1.0,0.0,0,-0.07247893325613404,0.419682217762957
BvPXcAWZXEZyUVm127oWQ9vFez89vfByAHCivqNXiqbR,2,10000,5000.0,8936,0,1,0,0,0,4468.0,1.1190689346463742,0.5,0.0,2,-0.07430979058660403,-0.8028518635575336
2rpVKSNN35WVaciCEyqQSNUFLXkhXbjeHYkq5Bipy9zz,2,10000,5000.0,301000,0,1,0,0,0,150500.0,0.03322259136212625,0.5,0.0,2,-0.07429087456827645,-0.8028521947430536
CcTNKBhQKYu7nB4eRrRFQoXEvpd6H5QnGKh93pwniBtp,5,25000,5000.0,7501,0,1,0,0,0,1500.2,3.3328889481402477,0.2,0.0,2,-0.07544119933331013,-1.5473005082350033
LUKAzPV8dDbVykTVT14pCGKzFfNcgZgRbAXB8AGdKx3,58,290058,5001.0,5487825,0,1,0,0,0,94617.6724137931,0.05285481953232838,0.017241379310344827,0.0,2,-0.07658461222364805,-2.2338441909715665
HrNFZk7iLunQchDVwwvZURWQdcNwfy6bgUkFKAdLRsEC,1,5000,5000.0,1000,0,1,0,0,0,1000.0,5.0,1.0,0.0,0,-0.07247931416392779,0.41968330680516464
82UfCLXZqTPtJh7acMuoYWCdZhvuryUWpM3TW8ZfKRYJ,1,5000,5000.0,1000,0,1,0,0,0,1000.0,5.0,1.0,0.0,0,-0.07247931416392779,0.41968330680516464
BFHx5zhp5GzrFngzML7ZBYZXRomwuSSeHazagr8JW3DK,1,5000,5000.0,10000,0,1,0,0,0,10000.0,0.5,1.0,0.0,0,-0.07247831781158653,0.4196819265551673
4dxW4zUR8WzpuVzrQ6jFGN2WPPq39hwiFaryrFzDwH7v,2,10000,5000.0,201000,0,1,0,0,0,100500.0,0.04975124378109453,0.5,0.0,2,-0.07429733420598895,-0.8028521906421693
AnXgRiyFZ9EV9Qr7xAXjBEdFkGDqH7ZEWfqezTezcXpJ,1,5000,5000.0,100000,0,1,0,0,0,100000.0,0.05,1.0,0.0,0,-0.07247049005091678,0.4196818298307849
F2zwiRfXKt8QHJ5iLKQx2Mk7uLj5rcWR95trb7Ch8H88,1,5000,5000.0,4143491,0,1,0,0,0,4143491.0,0.0012067119247996436,1.0,0.0,0,-0.0721197738436488,0.4196836891032294
BJ2ugEkEcPQMwuG7qbujH7XXagtr1ZgFDKKrerCoLGHz,31,12710000,410000.0,0,1,1,0,0,Sonicx...:22030011000,0.0,410000.0,0.03225806451612903,0.0,3,-0.19145938375559127,-1.0412761944958397
GsL3pweeseF6k6z2P7HCF4yt3bPT6g28ig6asaJ5WLoe,1,5000,5000.0,0,1,1,0,0,METvsv...:9417932,0.0,5000.0,1.0,0.0,3,-0.168797895582952,1.3934068910608126
Ffeie177PRngys3SwNH44AYdT9yExm63GAmTXHdmL1k1,2,10034,5017.0,0,1,1,0,0,2b1kV6...:53000000,0.0,5017.0,0.5,0.0,3,-0.17062983503072784,0.17087540458539624
HxEvJqMmoBSgX4KfHGkgDBQrazkvYMduP1xap5XRNHWV,2,110000,55000.0,18027668,0,1,0,0,0,9013834.0,0.006101732070947834,0.5,0.0,2,-0.07306225728615252,-0.8109122986076985
FLipgewPwNeqvwPFW3CvMTLpHTvuX7BQoXC6xhrWiCR3,1196,5980000,5000.0,1196,0,1,0,0,0,1.0,5000.0,0.0008361204013377926,0.0,2,-0.09249278296483449,-7.454404156731693
2sj6yUtdkmX68JY4JvpuBhUjnS9zsrNK369Ee6UMagJB,160,800000,5000.0,400,0,1,0,0,0,2.5,2000.0,0.00625,0.0,2,-0.07833532198806598,-2.7244808323797787
8Pzx9ccwFssfN6P6Go1ozRE6145tnLh6Mq6DiCHm8N8N,38,191748,5046.0,38,0,1,0,0,0,1.0,5046.0,0.02631578947368421,0.0,2,-0.07676040209100629,-2.1191173244738932
QCaVjsDMbWRFxpw1e6Sbq9SmPJSxjnHZ2ZbsMCTU9Bc,54,278208,5152.0,54,0,1,0,0,0,1.0,5152.0,0.018518518518518517,0.0,2,-0.07700977450109484,-2.210955232770494
G2fbcmjMAuwaAaJjJdohc7hk7Df2raM6tpKAvwUVVran,20,110000,5500.0,19000000,0,1,0,0,0,950000.0,0.005789473684210527,0.05,0.0,2,-0.07534002954433001,-1.981089642251668
J4uz56ci3Qcp8Gxah1768DseuZJfKyR4u4CBzWn7VdWu,1,5000,5000.0,10000,0,1,0,0,0,10000.0,0.5,1.0,0.0,0,-0.07247831781158653,0.4196819265551673
Cw8jniqJS5DG9Sizji4WGVZ1L8M7Z2EetxW2uKiEWbVZ,1,5000,5000.0,10000,0,1,0,0,0,10000.0,0.5,1.0,0.0,0,-0.07247831781158653,0.4196819265551673
C6d13orcmJqCwp3KGgX3rXzeNsfgNDkPxoyZ4fhgEMGe,1,5000,5000.0,10000,0,1,0,0,0,10000.0,0.5,1.0,0.0,0,-0.07247831781158653,0.4196819265551673
